"locality","unit","family type","type of income","time","Family income"
"Nanortalik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",133519
"Nanortalik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",137104
"Nanortalik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",141532
"Nanortalik","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",151700
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Ikerasassuaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Ikerasassuaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",...
"Ikerasassuaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",...
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",119252
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",123930
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",134097
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",138265
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",132798
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",137269
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",140017
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",143668
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",144106
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",134957
"Aappilattoq (NAN)","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",144251
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",168131
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",184942
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",205678
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",212086
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",221839
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",215877
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",221380
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",221347
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",229835
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",209453
"Aappilattoq (NAN)","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",211369
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",85648
"Aappilattoq (NAN)","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",87704
