"locality","unit","family type","type of income","time","Family income"
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",152367
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",209904
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",180909
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",..
"Saarloq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",..
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",107516
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",108605
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",113218
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",108046
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",86252
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",87311
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",84949
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",82601
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",93465
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",131604
"Saarloq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",95776
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",129826
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",141560
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",135597
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",148314
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",131397
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",137768
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",157511
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",168928
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",179996
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",169481
"Eqalugaarsuit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",172973
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",191379
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",209445
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",218113
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",213373
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",195178
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",191968
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",218269
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",240035
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",278671
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",223325
"Eqalugaarsuit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",252961
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",100974
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",113470
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",111711
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",110779
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",107204
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",116475
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",122335
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",129934
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",133561
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",142559
"Eqalugaarsuit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",134358
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",148677
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",164831
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",171325
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",..
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",..
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",..
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",133682
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Upernaviarsuk","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",...
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",..
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Upernaviarsuk","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",..
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",..
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",171325
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",..
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",..
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",..
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",98347
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",...
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",...
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",...
"Upernaviarsuk","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",...
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",137028
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",155399
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",163887
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",117082
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",157292
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",208150
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",153108
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",139274
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",170710
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",169716
"Qassimiut","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",186412
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",..
"Qassimiut","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",..
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",109124
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",109094
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",104770
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",52060
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",96083
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",91747
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",83581
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",100881
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",114673
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",93886
"Qassimiut","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",110134
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Eqaluit","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Eqaluit","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",...
"Eqaluit","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",155745
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",116977
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",124869
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",140539
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",132790
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",204320
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",186097
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",203793
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",165478
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",148967
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",173774
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",..
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",231551
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",198148
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",119709
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",76558
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",111481
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",125433
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",120227
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",189466
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",178063
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",...
"Andre lokaliteter omkring Qaqortoq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",...
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",178652
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",184659
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",184913
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",195765
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",194616
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",199246
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",197744
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",197618
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",201006
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",215163
"Narsaq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",211334
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",275725
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",285387
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",284845
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",300159
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",311773
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",321914
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",324011
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",317662
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",335236
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",342170
"Narsaq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",351574
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",122140
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",123547
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",122111
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",127270
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",126275
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",129112
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",130648
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",136346
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",135347
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",142466
"Narsaq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",143682
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2017",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2018",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2019",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2020",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2021",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2022",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2012",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2013",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2014",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2015",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2016",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2017",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2018",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2019",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2020",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2021",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Couples, total","1. Disposable income (2-23-24+25-26)","2022",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2012",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2013",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2014",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2015",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2016",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2017",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2018",..
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2019",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2020",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2021",...
"Igaliku Kujalleq","Average income for alle families (DKK)","Single people, total","1. Disposable income (2-23-24+25-26)","2022",...
"Igaliku","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2012",118996
"Igaliku","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2013",133449
"Igaliku","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2014",139453
"Igaliku","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2015",154957
"Igaliku","Average income for alle families (DKK)","Families, total","1. Disposable income (2-23-24+25-26)","2016",160817
