,season,field_code,sellers_locality,last_catch_day
168,2012,NB007,Upernavik,300
169,2012,NB008,Innaarsuit,250
170,2012,NB008,Kangersuatsiaq,238
171,2012,NB008,Nutaarmiut,219
172,2012,NB008,Upernavik,287
173,2012,NB009,Nutaarmiut,236
174,2012,NB009,Upernavik,238
175,2012,ND007,"Ikerasaarsuk, Upernavik",264
176,2012,ND007,Innaarsuit,202
177,2012,ND007,Kangersuatsiaq,267
178,2012,ND007,Nutaarmiut,306
179,2012,ND007,Upernavik,272
180,2012,ND008,"Ikerasaarsuk, Upernavik",215
181,2012,ND008,Innaarsuit,236
182,2012,ND008,Kangersuatsiaq,261
183,2012,ND008,Kullorsuaq,236
184,2012,ND008,Nutaarmiut,238
185,2012,ND008,Upernavik,306
186,2012,ND008,Upernavik Kujalleq,229
187,2012,ND009,Upernavik,217
188,2012,NG004,Upernavik,252
189,2012,NG005,Kullorsuaq,237
190,2012,NG005,Upernavik,212
191,2012,NG006,Kullorsuaq,236
192,2012,NG006,Upernavik,254
193,2012,NG007,Upernavik,254
194,2012,NH004,Kullorsuaq,259
195,2012,NH004,Upernavik,254
196,2012,NH005,Upernavik,208
197,2012,NH006,Upernavik,247
198,2012,NH007,Kullorsuaq,229
199,2012,NH007,Upernavik,254
200,2012,NH007,Upernavik Kujalleq,222
201,2012,NM003,Kullorsuaq,314
202,2012,NM003,Upernavik,287
203,2012,NM004,Kullorsuaq,259
204,2012,NM005,Kullorsuaq,299
205,2012,NM006,Kullorsuaq,306
206,2012,NM006,Upernavik Kujalleq,208
207,2012,NN003,Kullorsuaq,264
208,2012,NN004,Kullorsuaq,313
209,2012,NN004,Upernavik,289
210,2012,NN005,Kullorsuaq,309
211,2012,NN005,Upernavik,299
212,2012,NN006,Kullorsuaq,313
213,2012,NN006,Upernavik,309
214,2012,NN007,Kullorsuaq,309
215,2012,NN007,Upernavik,299
216,2012,NN007,Upernavik Kujalleq,201
217,2013,600B3,Sermiligaaq,257
218,2013,KE019,Itilleq,222
219,2013,LB023,Akunnaaq,253
220,2013,LB023,Ikamiut,251
221,2013,LD021,Uummannaq,241
222,2013,LD023,Akunnaaq,251
223,2013,LD024,Akunnaaq,234
224,2013,LD028,Qasigiannguit,258
225,2013,LF019,Qeqertarsuaq,277
226,2013,LG018,Qeqertarsuaq,251
227,2013,LG028,Ilulissat,251
228,2013,LG029,Ilulissat,143
229,2013,LG030,Ilulissat,287
230,2013,LG031,Ilulissat,279
231,2013,LH018,Qeqertarsuaq,252
232,2013,LH019,Qeqertarsuaq,245
233,2013,LN025,Saqqaq,214
234,2013,LN026,Saqqaq,239
235,2013,LN027,Qasigiannguit,225
236,2013,LN027,Qeqertaq,228
237,2013,LN027,Saattut,225
238,2013,LN028,Qeqertaq,252
239,2013,LN028,Saattut,221
240,2013,LP025,Saqqaq,242
241,2013,LP026,Saqqaq,242
242,2013,LP027,Qeqertaq,217
243,2013,LP028,Qasigiannguit,238
244,2013,LP028,Qeqertaq,269
245,2013,LP028,Saattut,245
246,2013,LT026,Ikerasak,280
247,2013,LT027,Ikerasak,280
248,2013,LT027,Ilulissat,232
249,2013,LT027,Uummannaq,256
250,2013,LT028,Ikerasak,276
251,2013,LT028,Uummannaq,251
252,2013,LT029,Ikerasak,276
253,2013,LV024,Ilulissat,252
254,2013,LV024,Qaarsut,242
255,2013,LV024,Uummannaq,255
256,2013,LV025,Ikerasak,220
257,2013,LV025,Qaarsut,239
258,2013,LV025,Uummannaq,264
259,2013,LV026,Ikerasak,256
260,2013,LV026,Illorsuit,224
261,2013,LV026,Qaarsut,264
262,2013,LV026,Uummannaq,250
263,2013,LV027,Ikerasak,280
264,2013,LV027,Illorsuit,235
265,2013,LV027,Ilulissat,256
266,2013,LV027,Saattut,252
267,2013,LV027,Uummannaq,237
268,2013,LV028,Ikerasak,251
269,2013,LV028,Saattut,264
270,2013,LV028,Uummannaq,272
271,2013,LV029,Nuugaatsiaq,232
272,2013,LX022,Qaarsut,267
273,2013,LX023,Qaarsut,269
274,2013,LX023,Uummannaq,280
275,2013,LX024,Ikerasak,257
276,2013,LX024,Illorsuit,234
277,2013,LX024,Ilulissat,249
278,2013,LX024,Niaqornat,257
279,2013,LX024,Qaarsut,280
280,2013,LX024,Saattut,278
281,2013,LX024,Uummannaq,280
282,2013,LX025,Illorsuit,228
283,2013,LX025,Niaqornat,217
284,2013,LX025,Qaarsut,238
285,2013,LX025,Saattut,253
286,2013,LX025,Uummannaq,280
287,2013,LX026,Illorsuit,230
288,2013,LX026,Nuugaatsiaq,218
289,2013,LX026,Saattut,256
290,2013,LX026,Uummannaq,280
291,2013,LX027,Ikerasak,242
292,2013,LX027,Niaqornat,231
293,2013,LX027,Saattut,279
294,2013,LX027,Ukkusissat,265
295,2013,LX027,Uummannaq,251
296,2013,LX028,Ikerasak,239
297,2013,LX028,Saattut,256
298,2013,LX028,Uummannaq,245
299,2013,LZ018,Niaqornat,249
300,2013,LZ022,Qaarsut,280
301,2013,LZ023,Qaarsut,264
302,2013,LZ024,Saattut,266
303,2013,LZ025,Saattut,280
304,2013,LZ025,Uummannaq,273
305,2013,LZ026,Niaqornat,266
306,2013,LZ026,Nuugaatsiaq,220
307,2013,LZ026,Saattut,280
308,2013,LZ026,Uummannaq,231
309,2013,LZ027,Illorsuit,249
310,2013,LZ027,Saattut,255
311,2013,LZ027,Uummannaq,218
312,2013,LZ028,Saattut,228
313,2013,MA024,Ukkusissat,279
314,2013,MA025,Niaqornat,264
315,2013,MA025,Saattut,264
316,2013,MA025,Ukkusissat,267
317,2013,MA025,Uummannaq,280
318,2013,MA026,Niaqornat,256
319,2013,MA026,Saattut,280
320,2013,MA027,Niaqornat,234
321,2013,MA027,Saattut,266
322,2013,MA028,Ukkusissat,218
323,2013,MA029,Saattut,203
324,2013,MB024,Nuugaatsiaq,256
325,2013,MB024,Ukkusissat,271
326,2013,MB025,Saattut,245
327,2013,MB025,Ukkusissat,271
328,2013,MB026,Nuugaatsiaq,182
329,2013,MB026,Ukkusissat,222
330,2013,MB027,Ukkusissat,256
331,2013,MB028,Ukkusissat,213
332,2013,MD019,Illorsuit,235
333,2013,MF019,Nuugaatsiaq,315
334,2013,MF020,Nuugaatsiaq,308
335,2013,MF020,Uummannaq,286
336,2013,MF021,Nuugaatsiaq,256
337,2013,MG019,Nuugaatsiaq,295
338,2013,MG021,Nuugaatsiaq,284
339,2013,MG022,Nuugaatsiaq,266
340,2013,MG023,Nuugaatsiaq,295
341,2013,MM011,Naajaat,217
342,2013,MM011,Upernavik Kujalleq,291
343,2013,MM012,Upernavik Kujalleq,266
344,2013,MN012,Upernavik Kujalleq,258
345,2013,MN013,Upernavik Kujalleq,294
346,2013,MT010,Upernavik,253
347,2013,MV010,Upernavik,265
348,2013,MV013,Innaarsuit,141
349,2013,MX008,Innaarsuit,270
350,2013,MX009,Innaarsuit,280
351,2013,MX009,Naajaat,281
352,2013,MX009,Nuuk,267
353,2013,MX009,Upernavik,280
354,2013,MX009,Upernavik Kujalleq,280
355,2013,MX010,Innaarsuit,271
356,2013,MX010,Nuuk,271
357,2013,MX010,Upernavik,272
358,2013,MZ008,Innaarsuit,284
359,2013,MZ008,Kangersuatsiaq,280
360,2013,MZ008,Nuuk,280
361,2013,MZ008,Upernavik,249
362,2013,MZ009,Innaarsuit,285
363,2013,MZ009,Naajaat,291
364,2013,MZ009,Nuuk,267
365,2013,MZ009,Upernavik,267
