season,field_code,ice_season_length
2013,MV013,0
2013,MX008,70
2013,MX009,118
2013,MX009,143
2013,MX009,37
2013,MX009,62
2013,MX009,3
2013,MX010,76
2013,MX010,0
2013,MX010,19
2013,MZ008,147
2013,MZ008,59
2013,MZ008,34
2013,MZ008,81
2013,MZ009,127
2013,MZ009,84
2013,MZ009,0
2013,MZ009,0
2013,MZ010,100
2013,MZ010,14
2013,MZ010,50
2013,MZ010,50
2013,MZ010,0
2013,MZ011,18
2013,NA008,0
2013,NA008,16
2013,NA008,147
2013,NB007,36
2013,NB008,0
2013,NB008,0
2013,NB008,21
2013,NB008,131
2013,NB009,124
2013,ND007,55
2013,ND007,11
2013,ND007,0
2013,ND007,70
2013,ND007,136
2013,ND007,112
2013,ND008,27
2013,ND008,24
2013,ND008,66
2013,ND008,140
2013,ND009,24
2013,NG006,45
2013,NG007,15
2013,NG007,50
2013,NH005,35
2013,NH006,42
2013,NH007,31
2013,NH008,0
2013,NM003,101
2013,NM004,0
2013,NM005,0
2013,NM006,75
2013,NN003,101
2013,NN004,79
2013,NN004,58
2013,NN005,155
2013,NN005,123
2013,NN006,153
2013,NN006,0
2013,NN006,4
2013,NN006,138
2013,NN007,136
2013,NN007,110
2013,PP390,0
2013,PP391,0
2013,PR396,97
2013,PS394,12
2013,PS395,137
2013,PS395,18
2013,PS396,182
2013,PS396,147
2013,PS404,89
2013,PS404,12
2013,PS404,28
2013,PS405,0
2013,PS405,46
2013,PS405,95
2013,PT398,0
2013,PT404,0
2013,PT404,0
2013,PT404,0
2013,PT405,134
2013,PT405,98
2013,PT405,113
2013,PT406,43
2013,PT406,115
2013,PT406,20
2014,KE019,1
2014,KH020,8
2014,KH021,69
2014,KH021,13
2014,KS018,4
2014,KT018,27
2014,KT019,5
2014,KT019,18
2014,KT019,27
2014,KT020,19
2014,KT020,0
2014,KV019,27
2014,KV019,7
2014,KV020,11
2014,KX020,0
2014,LA026,0
2014,LB022,0
2014,LB023,38
2014,LB024,51
2014,LB025,57
2014,LB028,60
2014,LD022,6
2014,LD022,14
2014,LD023,61
2014,LD026,0
2014,LD027,53
2014,LD028,64
2014,LE027,0
2014,LE028,0
2014,LF026,7
2014,LF028,61
2014,LG018,35
2014,LG028,45
2014,LG029,37
2014,LG030,26
2014,LG030,210
2014,LG030,4
2014,LG030,22
2014,LG031,139
2014,LH018,28
2014,LH019,65
2014,LL027,0
2014,LN024,4
2014,LN024,25
2014,LN025,38
2014,LN025,48
2014,LN026,3
2014,LN026,49
2014,LN027,7
2014,LN027,84
2014,LN027,24
2014,LN027,35
2014,LN028,35
2014,LN028,98
2014,LN028,0
2014,LN028,4
2014,LN029,81
2014,LP024,28
2014,LP025,28
2014,LP026,21
2014,LP028,105
2014,LT026,63
2014,LT026,0
2014,LT027,72
2014,LT028,77
2014,LT028,4
2014,LT028,1
2014,LV024,0
2014,LV024,0
2014,LV024,20
2014,LV024,0
2014,LV024,77
2014,LV025,12
2014,LV025,33
2014,LV025,36
2014,LV025,66
2014,LV026,70
2014,LV026,0
2014,LV026,31
2014,LV026,58
2014,LV026,0
2014,LV026,79
2014,LV027,97
2014,LV027,2
2014,LV027,63
2014,LV027,28
2014,LV028,55
2014,LV028,33
2014,LV029,5
2014,LV029,0
2014,LV029,23
2014,LX021,0
2014,LX021,0
2014,LX022,54
2014,LX023,0
2014,LX023,35
2014,LX023,82
2014,LX023,49
2014,LX023,31
2014,LX023,4
2014,LX023,86
2014,LX024,83
2014,LX024,90
2014,LX024,45
2014,LX024,77
2014,LX024,70
2014,LX024,72
2014,LX024,0
2014,LX024,0
2014,LX024,124
2014,LX025,61
2014,LX025,0
2014,LX025,0
2014,LX025,35
2014,LX025,79
2014,LX026,0
2014,LX026,5
2014,LX026,92
2014,LX026,6
2014,LX026,64
2014,LX027,76
2014,LX027,0
2014,LX027,104
2014,LX027,7
2014,LX028,35
2014,LX028,50
2014,LX028,74
2014,LX029,54
2014,LX029,18
2014,LZ020,11
2014,LZ020,0
2014,LZ021,3
2014,LZ021,15
2014,LZ022,55
2014,LZ022,0
2014,LZ023,0
2014,LZ023,57
2014,LZ023,18
2014,LZ023,49
2014,LZ024,47
2014,LZ024,29
2014,LZ024,15
2014,LZ024,16
2014,LZ024,1
2014,LZ024,65
2014,LZ025,0
2014,LZ025,66
2014,LZ025,107
2014,LZ026,0
2014,LZ026,0
2014,LZ026,122
2014,LZ026,27
2014,LZ026,67
2014,LZ027,0
2014,LZ027,1
2014,LZ027,98
2014,LZ027,25
2014,LZ028,0
2014,LZ028,0
2014,LZ028,90
2014,LZ028,9
2014,LZ029,59
2014,MA009,0
2014,MA022,50
2014,MA022,0
2014,MA023,0
2014,MA024,21
2014,MA024,102
2014,MA025,74
2014,MA026,101
2014,MA027,2
2014,MA027,0
2014,MA028,7
2014,MB008,0
2014,MB019,40
2014,MB022,0
2014,MB023,24
2014,MB024,102
2014,MB025,116
2014,MB026,185
2014,MB027,98
2014,MB028,28
2014,MD019,126
2014,MD019,6
2014,MD019,0
2014,MD020,91
2014,MD020,7
2014,MD023,0
2014,MD024,1
2014,MD025,29
2014,ME019,53
2014,ME020,47
2014,ME021,0
2014,MF019,0
2014,MF019,29
2014,MF020,24
2014,MF020,95
2014,MF021,57
