seasonal_year,sellers_locality,ice-only,majority-ice,majority-water,water-only,"Couples, total","Families, total","Single people, total"
2014,Ikerasak,,153729.75,236143.875,22530.75,279106,197371,113897
2014,Ilimanaq,,,458944.75,427296.25,249697,172960,132572
2014,Illorsuit,162178.5,153797.875,161424.25,,280629,188701,144439
2014,Ilulissat,,148824.75,264404.5,294813.425,351875,229933,143798
2014,Innaarsuit,,161956.0,295695.75,15211.625,403443,252234,162228
2014,Kangaamiut,,,,202597.025,271048,187708,126071
2014,Kangaatsiaq,,,,78252.375,269805,165169,105101
2014,Kangersuatsiaq,,,121813.0,44214.875,211208,159368,101243
2014,Kapisillit,,,,154273.25,249145,167205,111140
2014,Kitsissuarsuit,,,,190949.0,237360,173641,105940
2014,Kullorsuaq,59359.875,128608.5,113815.25,3718.0,219051,149108,80773
2014,Maniitsoq,,,,89130.0,329694,216828,146453
2014,Naajaat,12713.25,72600.25,147975.625,77410.0,271327,222182,132083
2014,Nanortalik,,,11293.7,12526.35,283079,171802,117850
2014,Napasoq,,,,123936.5,225205,173069,136140
2014,Narsaq,,,,95623.5,284845,184913,122111
2014,Niaqornaarsuk,,,1308.0,109421.5,262068,159424,88257
2014,Niaqornat,,16972.5,112595.75,19458.25,161746,129776,97806
2014,Nutaarmiut,13983.75,94374.75,,,231190,197081,162972
2014,Nuugaatsiaq,53677.5,76937.0,85414.0,11008.625,284240,185958,118947
2014,Nuuk,,,298761.13,178290.885,460281,286117,187599
2014,Oqaatsut,,,297.0,192478.0,219747,140560,106623
2014,Paamiut,,,,199916.465,309666,193445,125180
2014,Qaanaaq,23259.065000000002,,,,273812,167219,107636
2014,Qaarsut,34344.75,157330.5,134229.0,72296.125,247914,166639,119063
2014,Qaqortoq,,,,114166.5,345586,205240,137399
2014,Qasigiannguit,,35536.0,192720.375,41313.0,305621,208275,128713
2014,Qassimiut,,,,70246.75,..,163887,104770
2014,Qeqertaq,,,296184.0,58052.0,321809,215108,130484
2014,Qeqertarsuaq,8258.5,,101650.5,106741.0,...,...,...
2014,Qeqertarsuatsiaat,,,,284731.75,307686,192785,139270
2014,Qeqertat,12406.0,,,,199261,137840,..
2014,Saattut,156384.25,138861.25,225151.875,51564.0,334556,228301,134796
2014,Saqqaq,,,292647.61,205921.96,319924,201647,110251
2014,Savissivik,3570.0,,,,183155,121554,93834
2014,Sermiligaaq,,,,16655.63,216834,134006,81605
2014,Siorapaluk,33897.5,,,,187501,145969,94053
2014,Sisimiut,,,,137288.065,380285,238681,153081
2014,Ukkusissat,,133210.875,239118.375,27609.25,288094,225617,125110
2014,Upernavik,35297.625,89626.5,130490.25,31629.0,318799,212379,124564
2014,Upernavik Kujalleq,39657.75,93206.5,130489.75,,228195,136769,87539
2014,Uummannaq,24634.5,122205.375,126890.0,6189.75,338408,217873,133853
2015,Aasiaat,,13230.0,,48280.75,321258,191941,127580
2015,Akunnaaq,,,,120251.0,289043,167914,118705
2015,Alluitsup Paa,,,,20811.25,236888,142645,101293
2015,Arsuk,,,,150780.5,296755,195686,115528
2015,Atammik,,,,162479.5,268002,190324,93227
2015,Attu,,,,99998.875,241407,164151,105846
2015,Iginniarfik,,,,69523.75,267445,155503,68436
2015,Ikamiut,,,,47503.13,271322,199152,122736
2015,Ikerasak,,113811.375,272601.25,39130.5,286000,206759,124147
2015,Ilimanaq,,,,245368.25,286240,178040,130996
2015,Illorsuit,,41608.5,15759.0,143174.0,331351,205073,141934
2015,Ilulissat,,84851.25,179256.5,293719.0,355646,229313,142179
2015,Innaarsuit,50386.5,219812.5,286056.75,11739.0,336189,231479,126770
2015,Kangaamiut,,,,165685.13,283123,205115,153600
2015,Kangaatsiaq,,,,110853.25,268315,171678,108280
2015,Kangerluk,,,,104802.5,306403,198595,90787
2015,Kangersuatsiaq,,174269.25,179094.75,39979.0,221433,147647,83570
2015,Kapisillit,,,,138684.95,238108,160993,117406
2015,Kitsissuarsuit,,,,235703.5,241679,168955,105321
2015,Kullorsuaq,12185.25,124008.75,40293.0,12094.0,223122,156223,86139
2015,Maniitsoq,,,,65339.815,347801,229969,154393
2015,Naajaat,12120.5,101022.25,259168.5,1449.0,244196,181863,103947
2015,Nanortalik,,,,20273.975,288858,177971,125144
2015,Narsaq,,,,153211.625,300159,195765,127270
2015,Niaqornaarsuk,,,,152937.25,256477,161478,98574
2015,Niaqornat,,112488.75,145806.0,69678.5,245181,155435,100206
2015,Nutaarmiut,19385.0,80614.5,142442.5,,256777,170887,127941
2015,Nuugaatsiaq,,133260.375,64535.75,22656.5,352298,236064,132744
2015,Nuuk,,52532.0,,207570.5,483244,298853,194367
2015,Oqaatsut,,,166290.0,74834.0,286919,170719,131986
2015,Paamiut,,,,78493.8,319897,196975,131433
2015,Qaanaaq,15783.0,32897.75,,,264406,168594,111612
2015,Qaarsut,17834.125,65309.875,160613.25,139760.0,318510,202600,123054
2015,Qaqortoq,,,,62764.0,368971,218207,144942
2015,Qasigiannguit,,,,168060.25,306131,213446,131279
2015,Qassimiut,,,,198968.875,..,117082,52060
2015,Qeqertaq,,,200459.71,151239.0,278467,191285,122141
2015,Qeqertarsuaq,,,147878.75,53557.0,...,...,...
2015,Qeqertarsuatsiaat,,,,305293.25,341309,215213,131796
2015,Qeqertat,4648.875,57982.0,,,178660,146815,..
2015,Saattut,103043.25,101864.25,221316.25,61108.19,354733,255208,142701
2015,Saqqaq,,,185791.5,175258.0,313829,214605,122824
2015,Sarfannguit,,,,527354.89,310498,233043,158816
2015,Savissivik,1085.0,,,,193917,127724,82216
2015,Sermiligaaq,,,,9248.5,216957,137446,83378
2015,Siorapaluk,25344.0,40335.5,,,180300,142177,104053
2015,Sisimiut,,,,81655.83499999999,399129,250797,157884
2015,Ukkusissat,33734.25,149371.5,216044.75,17981.875,312139,232989,117307
2015,Upernavik,49617.5,130772.75,159389.14,42795.75,321870,216054,126844
2015,Upernavik Kujalleq,,95153.25,130269.5,23378.0,258388,154093,91081
2015,Uummannaq,70069.5,99637.25,184173.875,47853.875,354187,226514,136003
2016,Aasiaat,14335.5,,,67448.62,327801,199040,133697
2016,Akunnaaq,25097.0,27427.0,159038.5,146206.375,341317,194635,143098
2016,Arsuk,,,,210873.75,318476,211497,104518
2016,Atammik,,,,170597.7,277395,203346,100127
2016,Attu,,,,45985.125,263334,194379,122218
2016,Iginniarfik,,,,65207.87,266957,179227,59594
2016,Ikamiut,31491.75,67498.95,,,333767,205031,114159
2016,Ikerasak,22971.0,210914.5,276764.0,61775.5,286789,216287,133251
2016,Ilimanaq,49281.25,,246767.5,138870.5,371140,205269,122333
2016,Illorsuit,8167.0,197083.0,146672.0,21233.5,379729,226635,143708
2016,Ilulissat,,84490.25,201532.375,152167.0,390339,250153,150472
2016,Innaarsuit,107044.55,118315.3,212149.56,7020.0,365850,262931,165729
2016,Kangaamiut,,,,114048.375,310231,221733,161840
2016,Kangaatsiaq,,,,30896.18,276485,181885,117126
2016,Kangerluk,,,131440.0,48099.375,323076,200393,98158
2016,Kangersuatsiaq,,70321.845,83759.98999999999,31305.635,211380,150056,104419
2016,Kapisillit,,,,103416.05,237732,163096,122669
2016,Kitsissuarsuit,,,,78382.5,304009,218671,133334
2016,Kullorsuaq,31060.0,109108.695,131903.01,19158.625,238017,167975,97119
2016,Maniitsoq,,,,3813.25,378120,243177,163566
2016,Naajaat,11289.920000000002,195390.94,155576.66499999998,14927.5,286729,199441,104217
2016,Nanortalik,,,,26581.0,305005,188789,132824
2016,Narsaq,,,,64735.625,311773,194616,126275
2016,Niaqornaarsuk,,,,47811.75,278933,171385,102444
2016,Niaqornat,,121947.5,162682.75,53356.0,261091,162102,108800
2016,Nutaarmiut,,108127.975,44946.71,,323561,243219,171804
2016,Nuugaatsiaq,,64723.0,38218.0,11184.25,352870,223713,112168
2016,Nuuk,,,,154390.75,496786,307203,202332
2016,Oqaatsut,,,77963.75,29862.0,255308,159993,121868
2016,Paamiut,,,,106927.20000000001,323223,195613,128902
2016,Qaanaaq,38018.0,,,,275238,159430,99549
2016,Qaarsut,75290.75,178199.0,220344.375,25341.5,296747,202778,128803
2016,Qaqortoq,,,,108794.5,383266,224634,148432
2016,Qasigiannguit,19812.0,53951.75,132234.05,105714.75,328400,228347,138620
2016,Qassimiut,,,,150331.74,..,157292,96083
2016,Qeqertaq,,,247083.75,62012.5,354119,248955,129451
2016,Qeqertarsuaq,,,149682.25,38028.875,...,...,...
2016,Qeqertarsuatsiaat,,,,319851.9,306081,184465,116286
2016,Qeqertat,4820.625,,,,226372,146236,79456
2016,Saattut,38435.0,161549.785,199307.19,36499.95,404657,291215,177772
2016,Saqqaq,6384.0,173069.0,203420.5,71160.625,380611,262066,149929
2016,Sarfannguit,,,,478711.46,341730,242470,157390
2016,Sermiligaaq,,,,56991.0,241866,157215,81029
2016,Siorapaluk,12847.75,,,,185905,150841,119283
2016,Sisimiut,,,,82825.35500000001,414647,262975,167187
2016,Tasiilaq,,,,7562.5,338179,193155,132081
2016,Ukkusissat,,185812.32,280095.8,,353059,261705,134462
2016,Upernavik,27611.51,105383.405,127498.185,41222.8,332805,222234,123279
2016,Upernavik Kujalleq,10326.5,75621.25,110393.41500000001,42642.97,237436,149111,93691
2016,Uummannaq,11730.0,192375.5,206136.25,53272.05,375999,238559,135479
2017,Aasiaat,,,5800.0,46859.0,322011,197844,135648
2017,Akunnaaq,,,88771.0,88949.0,310588,173540,121685
2017,Arsuk,,,,49970.0,319958,242857,169610
2017,Atammik,,,,75825.925,313028,209427,105826
2017,Attu,,,,58281.325,273190,184461,113131
2017,Iginniarfik,,,,23097.2,259283,152632,76452
2017,Ikamiut,,,85402.92,65487.76,277521,196504,98125
2017,Ikerasak,67629.85,168755.34,292732.17,41254.32,280338,199545,114346
2017,Ilimanaq,,,,35234.72,303786,226260,183973
2017,Illorsuit,,26410.4,69263.07,28624.56,...,149549,149549
2017,Ilulissat,,47644.59,284696.615,174657.78,386603,245777,149120
2017,Innaarsuit,23163.355000000003,181591.05,260338.625,42554.05,292709,203762,127832
2017,Kangaamiut,,,,79581.2,279730,196144,138623
2017,Kangaatsiaq,,,,53282.14,282281,182212,109007
2017,Kangerluk,,,,109453.28,..,191742,137678
2017,Kangersuatsiaq,,96439.17,113034.59,54893.84,204499,135524,91631
2017,Kapisillit,,,,99312.5,255858,186325,142409
2017,Kitsissuarsuit,,,,80225.0,261630,168063,99446
2017,Kullorsuaq,54235.49,126982.775,89928.21,22950.094999999998,223372,158257,95439
2017,Kulusuk,,,,9295.0,289586,183192,116497
2017,Maniitsoq,,,,18816.2,383867,243377,162999
2017,Naajaat,26357.495,176762.66,194099.3,151832.98,233129,161595,107945
2017,Nanortalik,,,,52195.37,306845,189953,132847
2017,Narsaq,,,,56536.880000000005,321914,199246,129112
2017,Niaqornaarsuk,,,,56574.06,276717,177059,96177
2017,Niaqornat,,15794.2,125465.045,96500.17,248035,171480,94925
2017,Nutaarmiut,59862.82,170210.365,136660.08000000002,,280476,250611,207946
2017,Nuugaatsiaq,,,14105.43,,..,..,..
2017,Nuuk,,153151.77,113758.47499999999,161098.275,513757,315562,207799
2017,Oqaatsut,,,,45983.92,..,159534,118088
2017,Paamiut,,,,38337.17,324339,200977,137497
2017,Qaanaaq,32520.620000000003,,,,274429,171161,108873
2017,Qaarsut,124482.0,199637.26,203328.255,19271.68,293383,207171,117040
2017,Qaqortoq,,,,49087.13,400569,227423,147874
2017,Qasigiannguit,22681.705,41448.31,139518.54,23214.67,334169,227538,141427
2017,Qassimiut,,,,60286.0,..,208150,91747
2017,Qeqertaq,,3770.0,258939.235,174918.75,309919,219180,132071
2017,Qeqertarsuaq,2515.5,,69030.44,33734.2,...,...,...
2017,Qeqertarsuatsiaat,,,,141793.05,321169,192982,119732
2017,Qeqertat,15514.880000000001,,,,..,125260,75670
2017,Saattut,187040.8,228048.58500000002,260578.46000000002,99458.3,378069,275552,146860
2017,Saqqaq,89070.0,,169133.655,136244.37,330299,216690,130791
