locality,locality_dk,municipality,alias,settlement_size,geo_district,geo_lon,geo_lat
Ikerasak,Ikerasak,Qaasuitsup,IKE,Bygd,Uummannaq,-51.29979512,70.50211508
Illorsuit,Illorsuit,Qaasuitsup,ILL,Bygd,Uummannaq,-53.54929055,71.23972222
Niaqornat,Niaqornat,Qaasuitsup,NIA,Bygd,Uummannaq,-53.66223672,70.79002082
Nuugaatsiaq,Nuugaatsiaq,Qaasuitsup,NUG,Bygd,Uummannaq,-53.19612101,71.53682905
Qaarsut,Qaarsut,Qaasuitsup,QST,Bygd,Uummannaq,-52.64059264,70.72891292
Saattut,Saattut,Qaasuitsup,SAA,Bygd,Uummannaq,-51.6277346,70.80922489
Ukkusissat,Ukkusissat,Qaasuitsup,UKK,Bygd,Uummannaq,-51.88932583,71.04994753
Danmark,Danmark,,,,,,
Nuuk,Godthåb,Sermersooq,NUK,By,Nuuk,-51.72590677,64.17953206
Taaneqanngitsoq,Ukendt sted,,,,,,
"Nuussuaq, Nuuk",Nuussuaq,,,,,,
Kangerlussuaq,Sdr. Strømfjord,Qeqqata,KAN,Bygd,Sisimiut,-50.73051826,67.01741149
Sisimiut,Holsteinsborg,Qeqqata,SIS,By,Sisimiut,-53.67020718,66.93693722
Maniitsoq,Sukkertoppen,Qeqqata,MAN,By,Maniitsoq,-52.88704893,65.42032615
Tasiilaq,Tasiilaq,Sermersooq,TAS,By,Tasiilaq,-37.63517879,65.60205929
Qaqortoq,Julianehåb,Kujalleq,QAQ,By,Qaqortoq,-46.03888905,60.72112142
Narsaq,Narsaq,Kujalleq,NAR,By,Narsaq,-46.04162008,60.91556595
Nanortalik,Nanortalik,Kujalleq,NAN,By,Nanortalik,-45.24145071,60.15046472
Narsarsuaq,Narsarsuaq,Kujalleq,NRS,Bygd,Narsaq,-45.42278728,61.15719052
Ikerasassuaq,Prins Christianssund,Kujalleq,PCS,Bygd,Nanortalik,-43.16577996,60.05304512
Ivittuut,Ivittuut,Sermersooq,IVI,By,Ivittuut,-48.14793154,61.20773185
Paamiut,Frederikshåb,Sermersooq,PAA,By,Paamiut,-49.6487588,62.00511181
Aasiaat,Aasiaat,Qaasuitsup,AAS,By,Aasiaat,-52.8523477,68.7078453
Qasigiannguit,Qasigiannguit,Qaasuitsup,QAS,By,Qasigiannguit,-51.19543573,68.82368968
Ilulissat,Ilulissat,Qaasuitsup,ILU,By,Ilulissat,-51.09615415,69.21198334
Qeqertarsuaq,Qeqertarsuaq,Qaasuitsup,QEQ,By,Qeqertarsuaq,-53.52277641,69.25260353
Kangaatsiaq,Kangaatsiaq,Qaasuitsup,KAT,By,Kangaatsiaq,-53.45600227,68.3095619
Uummannaq,Uummannaq,Qaasuitsup,UUM,By,Uummannaq,-52.13489108,70.6823702
Upernavik,Upernavik,Qaasuitsup,UPV,By,Upernavik,-56.13741849,72.78347803
Pituffik,Dundas,UFK,PIT,Station,Qaanaaq,-68.68538633,76.53714808
Qaanaaq,Thule,Qaasuitsup,QNQ,By,Qaanaaq,-69.22230166,77.46714195
Illoqqortoormiut,Scoresbysund,Sermersooq,ILT,By,Illoqqortoormiut,-21.95814239,70.49252418
Danmarkshavn,Danmarkshavn,UFK,DMH,Station,Nordøstgrønland,-18.67205202,76.76888841
Daneborg,Daneborg,UFK,DNB,Station,Nordøstgrønland,-20.22762308,74.30446617
(tidl.) Ikamiut,(tidl.) Ikamiut,,,,,,
Ikamiut,Ikamiut,Qaasuitsup,IKA,Bygd,Qasigiannguit,-51.82739338,68.63518842
Nutaarmiut,Nutaarmiut,Qaasuitsup,NUT,Bygd,Upernavik,-56.43054847,73.51609827
"Ikerasaarsuk, Upernavik","Ikerasaarsuk, Upernavik",Qaasuitsup,,Bygd,Upernavik,-56.42189331,73.5272221
Ungusivik,Ungusivik,Qeqqata,UNG,Bygd,Maniitsoq,-53.49726688,65.94004075
